18:34:57 INFO  : Registering command handlers for SDK TCF services
21:20:09 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
21:24:03 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:24:03 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
21:24:05 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
21:30:03 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:30:03 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
21:30:04 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
21:31:25 WARN  : Given IPC port value is invalid. Using default port 2350
21:31:25 WARN  : Given XMD timeout value is invalid. Using default value of 50000
21:31:29 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:29 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:32 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:33 INFO  : ps7_init is completed.
21:31:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:33 INFO  : ps7_post_config is completed.
21:31:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:33 INFO  : Processor reset is completed for ps7_cortexa9_0
21:31:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:34 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:34 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:34 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:34 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:31:34 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:32:17 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:32:17 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
21:32:19 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
21:32:37 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:32:37 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:32:37 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:32:47 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
21:32:47 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
21:32:48 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
21:32:59 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:32:59 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:32:59 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:32:59 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:32:59 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:32:59 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:33:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:33:00 INFO  : ps7_init is completed.
21:33:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:33:00 INFO  : ps7_post_config is completed.
21:33:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:33:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:33:00 INFO  : Processor reset is completed for ps7_cortexa9_0
21:33:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:33:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:33:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:33:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:33:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:33:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:33:58 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:33:58 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
21:33:59 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:12:40 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:12:40 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
22:12:42 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
22:12:52 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:12:52 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:12:52 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:12:52 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:12:52 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:12:52 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:12:52 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:12:52 INFO  : ps7_init is completed.
22:12:52 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:12:53 INFO  : ps7_post_config is completed.
22:12:53 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:12:53 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:12:53 INFO  : Processor reset is completed for ps7_cortexa9_0
22:12:53 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:12:53 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:12:53 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:12:53 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:12:53 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:12:53 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:12 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:16:12 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
22:16:13 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
22:16:19 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:19 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:19 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:25 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:16:25 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
22:16:26 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
22:16:37 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:37 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:37 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:37 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:37 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:37 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:37 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:37 INFO  : ps7_init is completed.
22:16:37 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:38 INFO  : ps7_post_config is completed.
22:16:38 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:38 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:38 INFO  : Processor reset is completed for ps7_cortexa9_0
22:16:38 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:38 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:38 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:38 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:38 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:16:38 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:17:54 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:17:54 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:17:54 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:18:04 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:18:04 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
22:18:05 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
22:18:13 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:18:13 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:18:13 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:18:13 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:18:13 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:18:13 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:18:13 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:18:13 INFO  : ps7_init is completed.
22:18:13 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:18:14 INFO  : ps7_post_config is completed.
22:18:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:18:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:18:14 INFO  : Processor reset is completed for ps7_cortexa9_0
22:18:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:18:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:18:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:18:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:18:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:18:14 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:40 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:40 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:40 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:47 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:29:47 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
22:29:48 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
22:29:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:56 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:56 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:56 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:56 INFO  : ps7_init is completed.
22:29:56 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:56 INFO  : ps7_post_config is completed.
22:29:56 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:56 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:56 INFO  : Processor reset is completed for ps7_cortexa9_0
22:29:56 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:56 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:56 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:57 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:57 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:29:57 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:04 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:04 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:04 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:09 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
22:46:09 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
22:46:10 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
22:46:22 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:22 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:22 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:22 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:22 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:22 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:22 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:22 INFO  : ps7_init is completed.
22:46:22 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:23 INFO  : ps7_post_config is completed.
22:46:23 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:23 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:23 INFO  : Processor reset is completed for ps7_cortexa9_0
22:46:23 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:23 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:23 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:23 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:23 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
22:46:23 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:05:20 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:05:20 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:05:20 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:05:46 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
23:05:46 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
23:05:50 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
23:06:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:00 INFO  : ps7_init is completed.
23:06:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:00 INFO  : ps7_post_config is completed.
23:06:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:00 INFO  : Processor reset is completed for ps7_cortexa9_0
23:06:00 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:01 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:01 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:01 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:01 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:01 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:33 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:40 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
23:06:40 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
23:06:43 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
23:06:50 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:50 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:50 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:50 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:50 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:51 INFO  : ps7_init is completed.
23:06:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:51 INFO  : ps7_post_config is completed.
23:06:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:51 INFO  : Processor reset is completed for ps7_cortexa9_0
23:06:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:51 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:52 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:06:52 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:39 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:39 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:39 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:46 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
23:07:46 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
23:07:49 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
23:07:54 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:55 INFO  : ps7_init is completed.
23:07:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:55 INFO  : ps7_post_config is completed.
23:07:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:56 INFO  : Processor reset is completed for ps7_cortexa9_0
23:07:56 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:56 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:56 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:56 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:56 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:07:56 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:41 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:41 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:41 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:44 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
23:28:44 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Zybo 210279759472A" && level==0} -index 1' command is executed.
23:28:47 INFO  : FPGA configured successfully with bitstream "/home/chris/Repos/EmbeddedSystems/CC__LED_BUTTON/CC__LED_BUTTON.sdk/zynq_LED_system_wrapper_hw_platform_0/zynq_LED_system_wrapper.bit"
23:28:54 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:54 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:54 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:54 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:54 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:54 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:55 INFO  : ps7_init is completed.
23:28:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:55 INFO  : ps7_post_config is completed.
23:28:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:55 INFO  : Processor reset is completed for ps7_cortexa9_0
23:28:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:55 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
23:28:56 WARN  : Given XMD transaction timeout value is invalid. Using default value of 60000 milli seconds
